POSTCODE,PC_NAME,PC_TYPE,PA_NAME,PA_FIPS,CITY_TOWN,COUNTY,AREA_SQMI,zipcodenum,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,ADONA,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,ZIPCODE
"2322",AVON,NON UNIQUE,AVON,"02970","AVON, TOWN OF",NORFOLK,4.51614029,"2322",,,,,,,,,,,,,,,,,,,,,,,,,
"1434",DEVENS,NON UNIQUE,DEVENS,"16840","HARVARD, TOWN OF",WORCESTER,4.49453182,"1434",,,,,,,,,,,,,,,,,,,,,,,,,
"1945",MARBLEHEAD,NON UNIQUE,MARBLEHEAD,"38435","MARBLEHEAD, TOWN OF",ESSEX,4.4646786,"1945",,,,,,,,,,,,,,,,,,,,,,,,,
"12125",NEW LEBANON,NON UNIQUE,NEW LEBANON,"50441","HANCOCK, TOWN OF",BERKSHIRE,4.46073947,"12125",,,,,,,,,,,,,,,,,,,,,,,,,
"2136",HYDE PARK,NON UNIQUE,HYDE PARK,"31960",BOSTON,SUFFOLK,4.44098684,"2136",,,,,,,,,,,,,,,,,,,,,,,,,
"1863",NORTH CHELMSFORD,NON UNIQUE,NORTH CHELMSFORD,"47310","CHELMSFORD, TOWN OF",MIDDLESEX,4.80271258,"1863",,,,,,,,,,,,,,,,,,,,,,,,,
"1346",HEATH,NON UNIQUE,HEATH,"29615","HEATH, TOWN OF",FRANKLIN,4.80192654,"1346",,,,,,,,,,,,,,,,,,,,,,,,,
"1603",WORCESTER,NON UNIQUE,WORCESTER,"82000",WORCESTER,WORCESTER,4.77564454,"1603",,,,,,,,,,,,,,,,,,,,,,,,,
"2779",BERKLEY,NON UNIQUE,BERKLEY,"05245","BERKLEY, TOWN OF",BRISTOL,16.82464022,"2779",,,,,,,,,,,,,,,,,,,,,,,,,
"2066",SCITUATE,NON UNIQUE,SCITUATE,"60295","SCITUATE, TOWN OF",PLYMOUTH,16.79866201,"2066",MA4264000,SCITUATE WATER DIVISION,L,"90003",Wells #19 & 22R,GW,"4337",Entry Point to Dist. System,EP,,,2023/08/23 00:00:00,810-75418-1,PFOS,0.004,µg/L,EPA 533,=,0.0048,SE2,AM,"1",MA,,"2066"
"1506",BROOKFIELD,NON UNIQUE,BROOKFIELD,"09070","BROOKFIELD, TOWN OF",WORCESTER,16.75592443,"1506",,,,,,,,,,,,,,,,,,,,,,,,,
"1960",PEABODY,NON UNIQUE,PEABODY,"52490",PEABODY,ESSEX,16.73734506,"1960",,,,,,,,,,,,,,,,,,,,,,,,,
"2771",SEEKONK,NON UNIQUE,SEEKONK,"60680","SEEKONK, TOWN OF",BRISTOL,18.68388184,"2771",,,,,,,,,,,,,,,,,,,,,,,,,
"1071",RUSSELL,NON UNIQUE,RUSSELL,"58615","RUSSELL, TOWN OF",HAMPDEN,18.38903068,"1071",,,,,,,,,,,,,,,,,,,,,,,,,
"2760",NORTH ATTLEBORO,NON UNIQUE,NORTH ATTLEBORO,"46505","NORTH ATTLEBOROUGH, TOWN OF",BRISTOL,18.38782614,"2760",,,,,,,,,,,,,,,,,,,,,,,,,
"1770",SHERBORN,NON UNIQUE,SHERBORN,"61345","SHERBORN, TOWN OF",MIDDLESEX,16.12961653,"1770",,,,,,,,,,,,,,,,,,,,,,,,,
"1464",SHIRLEY,NON UNIQUE,SHIRLEY,"61555","SHIRLEY, TOWN OF",MIDDLESEX,15.9855142,"1464",,,,,,,,,,,,,,,,,,,,,,,,,
"2653",ORLEANS,NON UNIQUE,ORLEANS,"51405","ORLEANS, TOWN OF",BARNSTABLE,15.91339534,"2653",,,,,,,,,,,,,,,,,,,,,,,,,
"1778",WAYLAND,NON UNIQUE,WAYLAND,"73755","WAYLAND, TOWN OF",MIDDLESEX,15.89426224,"1778",MA3315000,WAYLAND WATER DEPARTMENT,L,"18",Chamberlain GP Well,GW,"10008",Entry Point to Dist. System,EP,,,2023/10/18 00:00:00,L2362102-01,PFOS,0.004,µg/L,EPA 533,=,0.004,SE2,AM,"1",MA,,"1778"
"1879",TYNGSBORO,NON UNIQUE,TYNGSBORO,"70955","TYNGSBOROUGH, TOWN OF",MIDDLESEX,17.63680648,"1879",,,,,,,,,,,,,,,,,,,,,,,,,
"2333",EAST BRIDGEWATER,NON UNIQUE,EAST BRIDGEWATER,"18420","EAST BRIDGEWATER, TOWN OF",PLYMOUTH,17.59598057,"2333",,,,,,,,,,,,,,,,,,,,,,,,,
"1827",DUNSTABLE,NON UNIQUE,DUNSTABLE,"17790","DUNSTABLE, TOWN OF",MIDDLESEX,16.72090085,"1827",,,,,,,,,,,,,,,,,,,,,,,,,
"1012",CHESTERFIELD,NON UNIQUE,CHESTERFIELD,"13555","CHESTERFIELD, TOWN OF",HAMPSHIRE,16.63193679,"1012",,,,,,,,,,,,,,,,,,,,,,,,,
"1501",AUBURN,NON UNIQUE,AUBURN,"02795","AUBURN, TOWN OF",WORCESTER,16.61910165,"1501",,,,,,,,,,,,,,,,,,,,,,,,,
